chainId,route,profile,amountIn,grossOutput,commission,commissionBps,netOutput,gasUnits,minimumReceived,priceImpactBps,liquidityUsd,hopCount,qualityStatus,warnings,selectedProvider,wrapper,feeTier,quotedAt
"1","WBTC→ETH","large","1","34.155250134201456109","0.068310500268402912","20","34.086939633933053197","88434","33.916504935763387932","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v2","0x660B2E98E9eeAA4CaE21f319FbF3D6aD6909b491","500","2026-07-21T00:42:00.720Z"
"1","WETH→USDC","small","0.001","1.91278","0.003825","20","1.908955","89978","1.899411","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","100","2026-07-21T00:42:00.720Z"
"1","WETH→USDC","normal","0.01","19.127794","0.038255","20","19.089539","89978","18.994092","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","100","2026-07-21T00:42:00.720Z"
"1","WETH→USDC","large","0.1","191.276466","0.382552","20","190.893914","89972","189.939445","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","100","2026-07-21T00:42:00.720Z"
"1","USDC→WETH","small","5","0.00261347152396954","0.000005226943047939","20","0.002608244580921601","87083","0.002595203358016993","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","100","2026-07-21T00:42:00.720Z"
"1","USDC→WETH","normal","25","0.013067345883038632","0.000026134691766077","20","0.013041211191272555","87083","0.012976005135316193","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","100","2026-07-21T00:42:00.720Z"
"1","USDC→WETH","large","250","0.130672138453893617","0.000261344276907787","20","0.13041079417698583","89889","0.129758740206100901","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","100","2026-07-21T00:42:00.720Z"
"1","WETH→USDT","small","0.001","1.91428","0.003828","20","1.910452","90985","1.9009","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","100","2026-07-21T00:42:00.720Z"
"1","WETH→USDT","normal","0.01","19.142711","0.038285","20","19.104426","90985","19.008904","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","100","2026-07-21T00:42:00.720Z"
"1","WETH→USDT","large","0.1","191.417731","0.382835","20","191.034896","99641","190.079722","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","100","2026-07-21T00:42:00.720Z"
"1","USDT→WETH","small","5","0.002611419792086943","0.000005222839584173","20","0.00260619695250277","81771","0.002593165967740257","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","100","2026-07-21T00:42:00.720Z"
"1","USDT→WETH","normal","25","0.013057024627367037","0.000026114049254734","20","0.013030910578112303","81771","0.012965756025221742","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","100","2026-07-21T00:42:00.720Z"
"1","USDT→WETH","large","250","0.130561884386703418","0.000261123768773406","20","0.130300760617930012","89500","0.129649256814840362","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","100","2026-07-21T00:42:00.720Z"
"1","WETH→DAI","small","0.001","1.911717589712730435","0.00382343517942546","20","1.907894154533304975","79551","1.898354683760638451","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","WETH→DAI","normal","0.01","19.116663852269763846","0.038233327704539527","20","19.078430524565224319","88238","18.983038371942398198","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","WETH→DAI","large","0.1","191.115449119281217566","0.382230898238562435","20","190.733218221042655131","88194","189.779552129937441856","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","DAI→WETH","small","0.01","0.000005250241651047","0.000000010500483302","20","0.000005239741167745","88197","0.000005213542461907","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","10000","2026-07-21T00:42:00.720Z"
"1","DAI→WETH","normal","0.1","0.000052493242606709","0.000000104986485213","20","0.000052388256121496","88201","0.000052126314840889","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","10000","2026-07-21T00:42:00.720Z"
"1","DAI→WETH","large","1","0.000524016795897232","0.000001048033591794","20","0.000522968762305438","88199","0.000520353918493911","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","10000","2026-07-21T00:42:00.720Z"
"1","WETH→WBTC","small","0.001","0.00002924","0.00000005","20","0.00002919","81816","0.00002905","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","100","2026-07-21T00:42:00.720Z"
"1","WETH→WBTC","normal","0.01","0.00029248","0.00000058","20","0.0002919","90517","0.00029045","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","100","2026-07-21T00:42:00.720Z"
"1","WETH→WBTC","large","0.1","0.00292393","0.00000584","20","0.00291809","82205","0.0029035","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","WBTC→WETH","small","0.01","0.341696853433914676","0.000683393706867829","20","0.341013459727046847","80378","0.339308392428411613","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","3000","2026-07-21T00:42:00.720Z"
"1","WBTC→WETH","normal","0.1","3.416517525361930798","0.006833035050723861","20","3.409684490311206937","89133","3.392636067859650903","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","WBTC→WETH","large","1","34.155250134201456109","0.068310500268402912","20","34.086939633933053197","88435","33.916504935763387932","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","WETH→LINK","small","0.001","0.221871389206557235","0.000443742778413114","20","0.221427646428144121","79828","0.220320508196003401","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","WETH→LINK","normal","0.01","2.218698054669239199","0.004437396109338478","20","2.214260658559900721","79828","2.203189355267101218","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","WETH→LINK","large","0.1","22.185396931403969719","0.044370793862807939","20","22.14102613754116178","87543","22.030321006853455972","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","LINK→WETH","small","1","0.004502589954905749","0.000009005179909811","20","0.004493584774995938","79966","0.004471116851120959","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","LINK→WETH","normal","5","0.022512628031456651","0.000045025256062913","20","0.022467602775393738","88647","0.02235526476151677","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
"1","LINK→WETH","large","25","0.112555097270158643","0.000225110194540317","20","0.112329987075618326","88651","0.111768337140240235","","","1","UNKNOWN_DATA","NO_PRICE_IMPACT_DATA","uniswap-v3-wrapper-v3","0xa7702Ce9267567fd811B39C886CdABeC6eB249fc","500","2026-07-21T00:42:00.720Z"
